Sales,Quantity,Discount,Profit,Profit Margin (%),Ship_Duration,Region,Segment,Category,Sub_Category,Ship_Mode,Month,Weekday,Log_Sales,High_Discount,Month_Num,Weekday_Num,SubCat_ProfRate,Profitable
19.46,7,0.0,5.0596,25.999999999999996,4,Central,Corporate,Office Supplies,Art,Standard Class,December,Friday,3.0184717605234805,0,12,5,1.0,1
60.34,7,0.0,15.6884,25.999999999999996,4,Central,Corporate,Office Supplies,Appliances,Standard Class,December,Friday,4.116432158686106,0,12,5,0.867109634551495,1
1044.63,3,0.0,240.2649,23.0,5,West,Consumer,Furniture,Tables,Standard Class,September,Friday,6.952374853558705,0,9,5,0.3627906976744186,1
11.65,2,0.2,4.2224,36.243776824034335,4,West,Consumer,Office Supplies,Binders,Second Class,January,Saturday,2.5376572151735295,0,1,6,0.6011730205278593,1
90.57,3,0.0,11.7741,13.0,4,West,Consumer,Technology,Accessories,Second Class,January,Saturday,4.517103707119641,0,1,6,0.872,1
3083.43,7,0.5,-1665.0522,-54.0,4,East,Consumer,Furniture,Bookcases,Standard Class,September,Thursday,8.034122154276439,1,9,4,0.5263157894736842,0
9.62,2,0.7,-7.0532,-73.31808731808734,4,East,Consumer,Office Supplies,Binders,Standard Class,September,Thursday,2.362739015813793,1,9,4,0.6011730205278593,0
124.2,3,0.2,15.525,12.5,4,East,Consumer,Furniture,Furnishings,Standard Class,September,Thursday,4.829912458665998,0,9,4,0.8065522620904836,1
3.26,2,0.2,1.1016,33.79141104294479,4,East,Consumer,Office Supplies,Envelopes,Standard Class,September,Thursday,1.449269160281279,0,9,4,1.0,1
86.3,6,0.2,9.7092,11.250521436848203,4,East,Consumer,Office Supplies,Art,Standard Class,September,Thursday,4.469350462845557,0,9,4,1.0,1
6.86,6,0.7,-5.715,-83.30903790087463,4,East,Consumer,Office Supplies,Binders,Standard Class,September,Thursday,2.061786606441115,1,9,4,0.6011730205278593,0
15.76,2,0.2,3.546,22.499999999999996,4,East,Consumer,Office Supplies,Art,Standard Class,September,Thursday,2.818995095053937,0,9,4,1.0,1
1097.54,7,0.2,123.4737,11.25004100078357,2,Central,Corporate,Technology,Phones,First Class,December,Thursday,7.001737304452568,0,12,4,0.8521008403361344,1
190.92,5,0.6,-147.963,-77.5,2,Central,Corporate,Furniture,Furnishings,First Class,December,Thursday,5.257078618531439,1,12,4,0.8065522620904836,0
113.33,9,0.2,35.415,31.249448513191563,4,Central,Home Office,Office Supplies,Envelopes,Standard Class,December,Sunday,4.739089003553879,0,12,7,1.0,1
532.4,3,0.32,-46.9764,-8.82351615326822,4,Central,Home Office,Furniture,Bookcases,Standard Class,December,Sunday,6.279271611747914,1,12,7,0.5263157894736842,0
212.06,3,0.3,-15.147,-7.142789776478355,4,Central,Home Office,Furniture,Chairs,Standard Class,December,Sunday,5.361573816183052,1,12,7,0.6042154566744731,0
371.17,4,0.2,41.7564,11.249939380876686,4,Central,Home Office,Technology,Phones,Standard Class,December,Sunday,5.919350739132674,0,12,7,0.8521008403361344,1
77.88,2,0.0,3.894,5.0,5,West,Corporate,Office Supplies,Storage,Standard Class,July,Sunday,4.36792771029438,0,7,7,0.7795698924731183,1
45.98,2,0.0,19.7714,43.00000000000001,2,Central,Corporate,Technology,Accessories,First Class,March,Friday,3.849721979230767,0,3,5,0.872,1
17.46,2,0.0,8.2062,47.0,2,Central,Corporate,Office Supplies,Binders,First Class,March,Friday,2.9156062290747062,0,3,5,0.6011730205278593,1
211.96,4,0.0,8.4784,4.0,5,Central,Consumer,Office Supplies,Storage,Second Class,October,Monday,5.361104354646802,0,10,1,0.7795698924731183,1
45.0,3,0.0,4.95,11.0,5,East,Consumer,Technology,Accessories,Standard Class,June,Monday,3.828641396489095,0,6,1,0.872,1
21.8,2,0.0,6.104,27.999999999999996,5,East,Consumer,Technology,Phones,Standard Class,June,Monday,3.126760535960395,0,6,1,0.8521008403361344,1
38.22,6,0.0,17.9634,47.0,4,Central,Consumer,Office Supplies,Binders,Standard Class,April,Saturday,3.6691868207682004,0,4,6,0.6011730205278593,1
75.18,6,0.0,35.3346,47.0,4,Central,Consumer,Office Supplies,Labels,Standard Class,April,Saturday,4.333098961050458,0,4,6,1.0,1
6.16,2,0.0,2.9568,48.0,4,Central,Consumer,Furniture,Furnishings,Standard Class,April,Saturday,1.9685099809725544,0,4,6,0.8065522620904836,1
89.99,1,0.0,17.0981,19.0,4,Central,Consumer,Furniture,Chairs,Standard Class,April,Saturday,4.5107496103686,0,4,6,0.6042154566744731,1
15.26,7,0.0,6.2566,41.0,6,East,Corporate,Office Supplies,Fasteners,Standard Class,December,Sunday,2.7887081041196646,0,12,7,0.9019607843137255,1
1029.95,5,0.0,298.6855,28.999999999999996,6,East,Corporate,Technology,Phones,Standard Class,December,Sunday,6.938235986235724,0,12,7,0.8521008403361344,1
208.56,6,0.0,52.14,25.0,1,East,Consumer,Office Supplies,Storage,First Class,June,Friday,5.345010094540019,0,6,5,0.7795698924731183,1
32.4,5,0.0,15.552,48.0,1,East,Consumer,Office Supplies,Paper,First Class,June,Friday,3.5085558999826545,0,6,5,1.0,1
319.41,5,0.1,7.098,2.222222222222222,1,East,Consumer,Furniture,Chairs,First Class,June,Friday,5.769601425693419,0,6,5,0.6042154566744731,1
14.56,2,0.0,6.9888,48.0,1,East,Consumer,Office Supplies,Paper,First Class,June,Friday,2.7447035187502458,0,6,5,1.0,1
30.0,2,0.0,3.3,11.0,1,East,Consumer,Technology,Accessories,First Class,June,Friday,3.4339872044851463,0,6,5,0.872,1
48.48,4,0.2,16.362,33.75,1,East,Consumer,Office Supplies,Binders,First Class,June,Friday,3.901568547524287,0,6,5,0.6011730205278593,1
1.68,1,0.0,0.84,50.0,1,East,Consumer,Office Supplies,Art,First Class,June,Friday,0.9858167945227653,0,6,5,1.0,1
13.98,2,0.0,6.1512,44.0,6,West,Consumer,Technology,Accessories,Standard Class,November,Tuesday,2.7067159780890733,0,11,2,0.872,1
25.82,6,0.2,9.3612,36.2556158017041,6,West,Consumer,Office Supplies,Binders,Standard Class,November,Tuesday,3.2891478778535324,0,11,2,0.6011730205278593,1
146.73,3,0.0,68.9631,47.0,6,West,Consumer,Office Supplies,Paper,Standard Class,November,Tuesday,4.9953862833335165,0,11,2,1.0,1
79.76,4,0.0,22.3328,27.999999999999996,6,West,Consumer,Furniture,Furnishings,Standard Class,November,Tuesday,4.391481793444637,0,11,2,0.8065522620904836,1
213.12,5,0.3,-15.2225,-7.142689564564564,5,Central,Home Office,Furniture,Chairs,Standard Class,April,Thursday,5.36653660552518,1,4,4,0.6042154566744731,0
1113.02,8,0.2,111.3024,10.000035938258073,5,West,Corporate,Office Supplies,Art,Standard Class,December,Friday,7.015730373647435,0,12,5,1.0,1
167.97,4,0.2,62.988,37.49955349169495,5,West,Corporate,Technology,Phones,Standard Class,December,Friday,5.129721184372558,0,12,5,0.8521008403361344,1
75.88,2,0.0,35.6636,47.00000000000001,2,South,Consumer,Office Supplies,Paper,First Class,June,Saturday,4.342245764662037,0,6,6,1.0,1
4.62,1,0.2,1.731,37.467532467532465,5,East,Consumer,Office Supplies,Binders,Standard Class,September,Sunday,1.7263316639055997,0,9,7,0.6011730205278593,1
831.94,8,0.2,-114.3912,-13.74993388946318,6,South,Consumer,Furniture,Chairs,Standard Class,April,Sunday,6.7249616107611185,0,4,7,0.6042154566744731,0
97.04,2,0.2,1.213,1.25,6,South,Consumer,Furniture,Furnishings,Standard Class,April,Sunday,4.585375558659912,0,4,7,0.8065522620904836,1
72.78,1,0.2,-18.196,-25.00137400384721,6,South,Consumer,Office Supplies,Storage,Standard Class,April,Sunday,4.3010876921685295,0,4,7,0.7795698924731183,0
19.3,5,0.6,-14.475,-75.0,5,Central,Consumer,Furniture,Furnishings,Second Class,November,Wednesday,3.0106208860477417,1,11,3,0.8065522620904836,0
208.16,1,0.0,56.2032,27.0,3,South,Corporate,Office Supplies,Appliances,First Class,June,Sunday,5.34309950931993,0,6,7,0.867109634551495,1
16.74,3,0.0,8.0352,48.00000000000001,3,South,Corporate,Office Supplies,Binders,First Class,June,Sunday,2.8758219768814333,0,6,7,0.6011730205278593,1
14.9,5,0.0,4.172,27.999999999999996,4,West,Consumer,Office Supplies,Art,Standard Class,October,Sunday,2.766319109226186,0,10,7,1.0,1
21.39,1,0.0,6.2031,28.999999999999996,4,West,Consumer,Office Supplies,Storage,Standard Class,October,Sunday,3.1086144306106633,0,10,7,0.7795698924731183,1
200.98,7,0.2,62.8075,31.25062195243308,5,South,Corporate,Office Supplies,Envelopes,Standard Class,September,Thursday,5.308168682598411,0,9,4,1.0,1
158.37,7,0.2,13.8572,8.749889499273852,5,Central,Home Office,Office Supplies,Storage,Second Class,April,Tuesday,5.071228542871542,0,4,2,0.7795698924731183,1
20.1,3,0.0,6.633,32.99999999999999,5,West,Corporate,Office Supplies,Art,Standard Class,September,Saturday,3.0492730404820207,0,9,6,1.0,1
73.58,2,0.2,8.2782,11.250611579233489,5,West,Corporate,Technology,Phones,Standard Class,September,Saturday,4.311872374750675,0,9,6,0.8521008403361344,1
6.48,1,0.0,3.1104,47.99999999999999,5,West,Corporate,Office Supplies,Paper,Standard Class,September,Saturday,2.012232791986386,0,9,6,1.0,1
12.96,2,0.0,6.2208,47.99999999999999,5,Central,Consumer,Office Supplies,Paper,Second Class,January,Saturday,2.6361960973342264,0,1,6,1.0,1
53.34,3,0.0,16.5354,30.999999999999993,5,Central,Consumer,Furniture,Furnishings,Second Class,January,Saturday,3.9952606039982017,0,1,6,0.8065522620904836,1
32.96,2,0.0,16.1504,49.00000000000001,5,Central,Consumer,Office Supplies,Binders,Second Class,January,Saturday,3.5251833614431467,0,1,6,0.6011730205278593,1
77.88,6,0.0,22.5852,29.000000000000004,5,Central,Corporate,Office Supplies,Appliances,Standard Class,September,Tuesday,4.36792771029438,0,9,2,0.867109634551495,1
64.62,7,0.2,22.6184,35.00216651191582,4,Central,Home Office,Office Supplies,Paper,Standard Class,August,Monday,4.183880527532955,0,8,1,1.0,1
95.98,3,0.2,-10.7973,-11.2495311523234,4,Central,Home Office,Technology,Accessories,Standard Class,August,Monday,4.574504771677206,0,8,1,0.872,0
1.79,3,0.8,-3.0396,-169.81005586592178,4,Central,Home Office,Office Supplies,Binders,Standard Class,August,Monday,1.0260415958332743,1,8,1,0.6011730205278593,0
23.92,4,0.0,11.7208,49.0,3,Central,Consumer,Office Supplies,Paper,Second Class,December,Thursday,3.2156706939192525,0,12,4,1.0,1
238.9,6,0.2,-26.8758,-11.249811636668063,4,West,Consumer,Technology,Accessories,Standard Class,November,Friday,5.480222169845649,0,11,5,0.872,0
102.36,3,0.2,-3.8385,-3.75,4,West,Consumer,Furniture,Furnishings,Standard Class,November,Friday,4.638218040034292,0,11,5,0.8065522620904836,0
36.88,3,0.7,-25.8174,-70.00379609544468,4,West,Consumer,Office Supplies,Binders,Standard Class,November,Friday,3.6344232683178777,1,11,5,0.6011730205278593,0
339.96,5,0.2,67.992,20.000000000000004,5,Central,Home Office,Technology,Accessories,Standard Class,October,Thursday,5.831765168350307,0,10,4,0.872,1
75.96,2,0.0,22.788,30.000000000000004,7,Central,Consumer,Office Supplies,Art,Standard Class,November,Thursday,4.343285806357451,0,11,4,1.0,1
27.24,6,0.0,13.3476,49.00000000000001,7,Central,Consumer,Office Supplies,Binders,Standard Class,November,Thursday,3.3407394126250414,0,11,4,0.6011730205278593,1
40.1,14,0.2,14.5348,36.24638403990025,2,East,Consumer,Office Supplies,Fasteners,Second Class,August,Monday,3.716008121502189,0,8,1,0.9019607843137255,1
4.72,2,0.2,1.652,35.0,2,East,Consumer,Office Supplies,Envelopes,Second Class,August,Monday,1.7439688053917064,0,8,1,1.0,1
23.98,3,0.2,7.4925,31.244787322768975,2,East,Consumer,Office Supplies,Paper,Second Class,August,Monday,3.2180755046974316,0,8,1,1.0,1
130.46,6,0.2,44.0316,33.75103479993867,2,East,Consumer,Office Supplies,Envelopes,Second Class,August,Monday,4.87870262283543,0,8,1,1.0,1
787.53,3,0.0,165.3813,21.000000000000004,4,West,Consumer,Furniture,Tables,Standard Class,March,Monday,6.670170452603868,0,3,1,0.3627906976744186,1
157.79,1,0.7,-115.7156,-73.33519234425502,5,South,Corporate,Office Supplies,Binders,Standard Class,April,Sunday,5.067582574538005,1,4,7,0.6011730205278593,0
47.04,3,0.0,18.3456,39.0,3,East,Consumer,Furniture,Furnishings,First Class,June,Sunday,3.872033997211783,0,6,7,0.8065522620904836,1
30.84,4,0.0,13.878,45.0,3,East,Consumer,Office Supplies,Binders,First Class,June,Sunday,3.460723360976182,0,6,7,0.6011730205278593,1
226.56,6,0.0,63.4368,27.999999999999996,3,East,Consumer,Office Supplies,Storage,First Class,June,Sunday,5.427413939882447,0,6,7,0.7795698924731183,1
115.02,9,0.0,51.759,45.0,3,East,Consumer,Office Supplies,Envelopes,First Class,June,Sunday,4.753762590037918,0,6,7,1.0,1
68.04,7,0.0,19.7316,28.999999999999996,3,East,Consumer,Technology,Phones,First Class,June,Sunday,4.234686046775173,0,6,7,0.8521008403361344,1
600.56,3,0.3,-8.5794,-1.428566671106967,2,Central,Home Office,Furniture,Chairs,Second Class,December,Friday,6.399526281063412,1,12,5,0.6042154566744731,0
617.7,6,0.5,-407.682,-66.0,5,Central,Consumer,Furniture,Tables,Standard Class,September,Saturday,6.427620502536943,1,9,6,0.3627906976744186,0
81.42,2,0.2,-9.1602,-11.250552689756816,4,West,Home Office,Furniture,Chairs,Second Class,November,Sunday,4.411828125910671,0,11,7,0.6042154566744731,0
238.56,3,0.0,26.2416,10.999999999999998,4,West,Home Office,Furniture,Furnishings,Second Class,November,Sunday,5.478803907396261,0,11,7,0.8065522620904836,1
20.04,3,0.0,9.6192,48.0,6,West,Consumer,Office Supplies,Paper,Standard Class,October,Thursday,3.046425387869509,0,10,4,1.0,1
35.44,1,0.0,16.6568,47.0,6,West,Consumer,Office Supplies,Paper,Standard Class,October,Thursday,3.5956670723917576,0,10,4,1.0,1
11.52,4,0.0,3.456,30.0,6,West,Consumer,Office Supplies,Art,Standard Class,October,Thursday,2.5273273656719524,0,10,4,1.0,1
4.02,2,0.0,1.9698,49.00000000000001,6,West,Consumer,Office Supplies,Fasteners,Standard Class,October,Thursday,1.6134299337036377,0,10,4,0.9019607843137255,1
76.18,3,0.2,26.6616,34.998162247309,6,West,Consumer,Office Supplies,Binders,Standard Class,October,Thursday,4.346140356109473,0,10,4,0.6011730205278593,1
65.88,6,0.0,18.4464,28.000000000000004,6,West,Consumer,Office Supplies,Supplies,Standard Class,October,Thursday,4.202899968776446,0,10,4,0.816793893129771,1
43.12,14,0.0,20.6976,48.00000000000001,6,West,Consumer,Furniture,Furnishings,Standard Class,October,Thursday,3.786913194385302,0,10,4,0.8065522620904836,1
82.8,2,0.2,10.35,12.5,2,East,Corporate,Furniture,Furnishings,Second Class,September,Monday,4.428433007488037,0,9,1,0.8065522620904836,1
671.93,7,0.0,20.1579,3.0000000000000004,5,West,Consumer,Office Supplies,Storage,Standard Class,September,Monday,6.511641312348043,0,9,1,0.7795698924731183,1
93.89,4,0.2,12.9096,13.74970710405794,6,East,Home Office,Furniture,Furnishings,Standard Class,October,Wednesday,4.552718325985667,0,10,3,0.8065522620904836,1
384.45,11,0.0,103.8015,27.0,4,Central,Corporate,Technology,Phones,Standard Class,December,Monday,5.954411482905271,0,12,1,0.8521008403361344,1
149.97,3,0.0,5.9988,4.0,4,Central,Corporate,Technology,Phones,Standard Class,December,Monday,5.017081141579645,0,12,1,0.8521008403361344,1
1951.84,8,0.0,585.552,30.000000000000004,4,Central,Corporate,Furniture,Chairs,Standard Class,December,Monday,7.577040002277407,0,12,1,0.6042154566744731,1
171.55,5,0.0,80.6285,47.0,4,Central,Corporate,Office Supplies,Binders,Standard Class,December,Monday,5.150687049544013,0,12,1,0.6011730205278593,1
157.92,5,0.2,17.766,11.25,3,West,Home Office,Office Supplies,Appliances,First Class,March,Sunday,5.068400930946398,0,3,7,0.867109634551495,1
203.18,2,0.2,15.2388,7.500147652327985,3,West,Home Office,Technology,Phones,First Class,March,Sunday,5.31900195774087,0,3,7,0.8521008403361344,1
58.38,7,0.0,26.271,45.0,2,West,Corporate,Office Supplies,Paper,First Class,May,Sunday,4.083957469335614,0,5,7,1.0,1
105.52,4,0.0,48.5392,46.0,2,West,Corporate,Office Supplies,Paper,First Class,May,Sunday,4.668332760945732,0,5,7,1.0,1
80.88,6,0.0,21.0288,26.0,2,West,Corporate,Office Supplies,Storage,First Class,May,Sunday,4.405254760793088,0,5,7,0.7795698924731183,1
6.63,3,0.0,1.7901,27.0,6,West,Home Office,Office Supplies,Art,Standard Class,May,Thursday,2.0320878452963655,0,5,4,1.0,1
457.57,2,0.2,51.4764,11.249950827195839,5,West,Consumer,Furniture,Chairs,Second Class,March,Saturday,6.128112951799098,0,3,6,0.6042154566744731,1
14.62,2,0.0,6.8714,47.0,4,Central,Consumer,Office Supplies,Labels,Standard Class,November,Sunday,2.7485521444115397,0,11,7,1.0,1
944.93,7,0.0,236.2325,25.0,4,Central,Consumer,Technology,Phones,Standard Class,November,Sunday,6.852168570542386,0,11,7,0.8521008403361344,1
5.98,1,0.0,2.691,44.99999999999999,1,West,Consumer,Office Supplies,Paper,First Class,May,Wednesday,1.9430489167742813,0,5,3,1.0,1
54.38,2,0.2,1.3596,2.5001838911364467,3,East,Consumer,Technology,Accessories,Second Class,December,Monday,4.014218517742816,0,12,1,0.872,1
28.4,5,0.0,13.348,47.0,4,West,Consumer,Office Supplies,Envelopes,Standard Class,November,Wednesday,3.380994674344636,0,11,3,1.0,1
27.68,2,0.2,9.688,35.0,4,West,Consumer,Office Supplies,Binders,Standard Class,November,Monday,3.3562000157314196,0,11,1,0.6011730205278593,1
9.94,3,0.2,2.7324,27.48893360160966,4,Central,Consumer,Office Supplies,Art,Standard Class,September,Monday,2.392425796993835,0,9,1,1.0,1
8159.95,8,0.4,-1359.992,-16.66667075165902,4,Central,Consumer,Technology,Machines,Standard Class,September,Monday,9.007115862750315,1,9,1,0.5975609756097561,0
275.93,3,0.2,-58.6347,-21.249845975428553,4,Central,Consumer,Office Supplies,Storage,Standard Class,September,Monday,5.62376476667017,0,9,1,0.7795698924731183,0
1740.06,9,0.3,-24.858,-1.4285714285714286,4,Central,Consumer,Furniture,Chairs,Standard Class,September,Monday,7.462249402126681,1,9,1,0.6042154566744731,0
32.06,6,0.2,6.8136,21.25265127885215,4,Central,Consumer,Office Supplies,Art,Standard Class,September,Monday,3.498324092392878,0,9,1,1.0,1
177.98,5,0.8,-453.849,-255.00000000000003,4,Central,Consumer,Office Supplies,Appliances,Standard Class,September,Monday,5.1872740677547124,1,9,1,0.867109634551495,0
143.98,3,0.2,8.9985,6.249826364772885,4,Central,Consumer,Technology,Phones,Standard Class,September,Monday,4.976595801872731,0,9,1,0.8521008403361344,1
20.94,3,0.0,9.8418,46.99999999999999,4,West,Consumer,Office Supplies,Paper,Standard Class,August,Tuesday,3.088311454847084,0,8,2,1.0,1
110.96,2,0.0,53.2608,48.00000000000001,4,West,Consumer,Office Supplies,Paper,Standard Class,August,Tuesday,4.718141664647253,0,8,2,1.0,1
340.14,7,0.2,21.259,6.25007349914741,4,West,Consumer,Furniture,Chairs,Standard Class,August,Tuesday,5.832292950212727,0,8,2,0.6042154566744731,1
52.45,2,0.8,-131.12,-249.9904671115348,5,Central,Corporate,Office Supplies,Appliances,Standard Class,September,Sunday,3.9787466374710543,1,9,7,0.867109634551495,0
20.16,4,0.2,6.552,32.49999999999999,5,Central,Corporate,Office Supplies,Labels,Standard Class,September,Sunday,3.052112606990099,0,9,7,1.0,1
396.8,7,0.3,-11.3372,-2.857157258064516,2,East,Consumer,Furniture,Chairs,Second Class,November,Saturday,5.985949366419872,1,11,6,0.6042154566744731,0
15.88,5,0.2,-3.7715,-23.75,2,East,Consumer,Office Supplies,Supplies,Second Class,November,Saturday,2.826129489167811,0,11,6,0.816793893129771,0
3.28,1,0.0,1.4104,43.00000000000001,4,East,Home Office,Office Supplies,Art,Standard Class,December,Tuesday,1.4539530095937052,0,12,2,1.0,1
24.82,2,0.2,1.8612,7.498791297340854,4,Central,Corporate,Office Supplies,Storage,Second Class,December,Friday,3.2511493854184965,0,12,5,0.7795698924731183,1
408.74,7,0.2,76.6395,18.7501834907276,4,Central,Corporate,Technology,Accessories,Second Class,December,Friday,6.015522812201053,0,12,5,0.872,1
503.96,4,0.0,131.0296,26.0,5,South,Home Office,Technology,Phones,Second Class,November,Wednesday,6.224479218217454,0,11,3,0.8521008403361344,1
149.95,5,0.0,41.986,28.000000000000004,5,South,Home Office,Technology,Phones,Second Class,November,Wednesday,5.016948656152848,0,11,3,0.8521008403361344,1
29.0,2,0.0,7.25,25.0,5,South,Home Office,Technology,Accessories,Second Class,November,Wednesday,3.4011973816621555,0,11,3,0.872,1
7.16,2,0.0,3.4368,48.0,4,East,Consumer,Office Supplies,Binders,Standard Class,November,Monday,2.0992441689760155,0,11,1,0.6011730205278593,1
176.8,8,0.0,22.984,13.0,4,West,Home Office,Technology,Accessories,Standard Class,August,Tuesday,5.180659323079804,0,8,2,0.872,1
37.22,3,0.2,3.7224,10.00107469102633,6,Central,Corporate,Office Supplies,Storage,Standard Class,July,Saturday,3.643358938812127,0,7,6,0.7795698924731183,1
20.02,3,0.2,6.255,31.243756243756245,6,Central,Corporate,Office Supplies,Paper,Standard Class,July,Saturday,3.045474365448805,0,7,6,1.0,1
899.14,4,0.2,112.392,12.499944391307249,2,East,Home Office,Furniture,Bookcases,First Class,October,Monday,6.802550306782355,0,10,1,0.5263157894736842,1
71.76,6,0.0,20.0928,27.999999999999996,2,East,Home Office,Technology,Phones,First Class,October,Monday,4.287166353649922,0,10,1,0.8521008403361344,1
51.84,8,0.0,24.8832,47.99999999999999,2,East,Home Office,Office Supplies,Paper,First Class,October,Monday,3.9672684796541247,0,10,1,1.0,1
626.35,3,0.2,46.9764,7.500023948271732,2,East,Home Office,Furniture,Bookcases,First Class,October,Monday,6.441504598605709,0,10,1,0.5263157894736842,1
19.9,5,0.0,6.567,33.0,2,East,Home Office,Office Supplies,Art,First Class,October,Monday,3.039749158970765,0,10,1,1.0,1
14.28,7,0.0,6.7116,47.0,6,West,Corporate,Office Supplies,Envelopes,Standard Class,October,Saturday,2.7265447837383743,0,10,6,1.0,1
7.41,2,0.2,1.2038,16.24561403508772,4,East,Consumer,Office Supplies,Art,Standard Class,March,Friday,2.1294214739848565,0,3,5,1.0,1
6.05,3,0.2,1.5876,26.241322314049587,4,East,Consumer,Office Supplies,Art,Standard Class,March,Friday,1.9530276168241774,0,3,5,1.0,1
218.75,2,0.5,-161.875,-74.0,2,West,Consumer,Furniture,Tables,First Class,August,Sunday,5.392490536565286,1,8,7,0.3627906976744186,0
2.6,1,0.2,0.2925,11.249999999999998,2,West,Consumer,Office Supplies,Appliances,First Class,August,Sunday,1.2809338454620642,0,8,7,0.867109634551495,1
20.8,2,0.2,6.5,31.25,4,Central,Corporate,Technology,Accessories,Second Class,February,Monday,3.0819099697950434,0,2,1,0.872,1
23.68,2,0.2,8.88,37.50000000000001,7,East,Corporate,Office Supplies,Labels,Standard Class,January,Friday,3.205993199037187,0,1,5,1.0,1
452.45,5,0.5,-244.323,-54.0,7,East,Corporate,Furniture,Bookcases,Standard Class,January,Friday,6.1168850098935765,1,1,5,0.5263157894736842,0
62.98,3,0.4,-14.6958,-23.33407430930454,7,East,Corporate,Technology,Phones,Standard Class,January,Friday,4.158570534521372,1,1,5,0.8521008403361344,0
1188.0,9,0.7,-950.4,-80.0,7,East,Corporate,Technology,Machines,Standard Class,January,Friday,7.080867896690782,1,1,5,0.5975609756097561,0
89.58,2,0.2,4.4792,5.0002232641214555,7,East,Corporate,Technology,Accessories,Standard Class,January,Friday,4.506233438128068,0,1,5,0.872,1
93.06,6,0.0,26.0568,27.999999999999996,4,West,Consumer,Office Supplies,Storage,Standard Class,October,Friday,4.543932876516902,0,10,5,0.7795698924731183,1
302.38,3,0.2,22.6782,7.499900787089094,4,West,Consumer,Technology,Phones,Standard Class,October,Friday,5.714986145163526,0,10,5,0.8521008403361344,1
5.58,2,0.2,1.8148,32.52329749103943,3,East,Consumer,Office Supplies,Fasteners,First Class,December,Thursday,1.884034745337226,0,12,4,0.9019607843137255,1
22.7,6,0.2,8.2302,36.25638766519824,3,East,Consumer,Office Supplies,Paper,First Class,December,Thursday,3.1654750481410856,0,12,4,1.0,1
